Frequenza,Territorio,Indicatore,Luogo di nascita del marito,Luogo di nascita della moglie,Luogo di residenza del marito,Luogo di residenza della moglie,Classe di età del marito al divorzio,Classe di età della moglie al divorzio,Classe di età del marito al matrimonio,Classe di età della moglie al matrimonio,Anno di matrimonio,TIME_PERIOD,VALUE,OBS_STATUS,SOURCE
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,40-44 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2011,3800,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,40-44 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2012,3601,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,40-44 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2013,3377,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,40-44 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2014,3386,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,45-49 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2008,3717,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,45-49 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2009,3777,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,45-49 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2010,3831,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,45-49 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2011,3960,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,45-49 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2012,3898,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,45-49 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2013,3798,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,45-49 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2014,3810,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,50-54 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2008,2530,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,50-54 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2009,2507,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,50-54 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2010,2673,,27_385_DF_DCIS_DIVORDEMCONG_5
